Store Location,Store Number,Customer ID,Customer age,Gender,Date Joined,Most Recent Purchase,Electronics,Furniture,Garden,Groceries,Clothing,Toys,Departments Shopped,Number of Items Purchased,Total Amount of Purchases,
Brisbane,67,SSMM55249,51,Female,8/01/2011,5/07/2012,2169,998,185,1186,426,1026,6,254,5990,
Sydney,42,SSMM55250,52,Female,10/01/2011,3/04/2012,0,624,0,0,0,0,1,18,624,
Brisbane,67,SSMM55251,74,Female,12/01/2011,2/07/2012,2251,4173,621,813,269,0,5,157,8127,
Brisbane,72,SSMM55252,74,Female,12/01/2011,31/05/2012,521,4543,558,2703,1097,467,6,291,9889,
Perth,7,SSMM55253,53,Male,12/01/2011,1/02/2012,364,0,5096,942,291,0,4,71,6693,
Sydney,37,SSMM55254,48,Female,14/01/2011,11/07/2012,4716,3702,1736,4546,1833,825,6,103,17358,
Melbourne,45,SSMM55255,62,Female,14/01/2011,29/06/2012,185,954,1560,574,18,1158,6,147,4449,
Melbourne,60,SSMM55256,49,Female,14/01/2011,10/01/2012,0,2100,216,0,0,0,2,66,2316,
Perth,6,SSMM55257,58,Female,15/01/2011,4/07/2012,273,2891,715,1818,888,0,5,87,6585,
Melbourne,63,SSMM55258,22,Female,15/01/2011,14/06/2012,59,200,1183,1277,525,75,6,287,3319,
Brisbane,80,SSMM55259,66,Female,15/01/2011,24/03/2012,0,0,1997,1086,171,248,4,152,3502,
Sydney,29,SSMM55260,65,Female,16/01/2011,17/06/2012,2508,3541,2081,916,176,2317,6,55,11539,
Perth,20,SSMM55261,26,Male,16/01/2011,14/05/2012,0,2637,0,153,42,0,3,130,2832,
Melbourne,45,SSMM55262,54,Male,16/01/2011,12/04/2012,549,0,1252,361,49,0,4,17,2211,
Brisbane,76,SSMM55263,56,Female,17/01/2011,1/04/2012,0,182,0,0,0,276,2,7,458,
Melbourne,57,SSMM55264,47,Male,18/01/2011,24/06/2012,810,2490,0,0,0,0,2,89,3300,
Melbourne,52,SSMM55265,39,Female,19/01/2011,9/08/2011,1774,0,0,0,0,0,1,47,1774,
Sydney,40,SSMM55266,66,Female,20/01/2011,10/11/2011,436,750,169,423,114,0,5,24,1892,
Melbourne,61,SSMM55267,73,Male,21/01/2011,30/01/2012,131,59,0,1601,200,0,4,64,1991,
Perth,15,SSMM55268,54,Male,22/01/2011,13/07/2012,3642,7937,0,1315,483,0,4,140,13377,
Sydney,38,SSMM55269,75,Male,23/01/2011,10/07/2012,56,3243,0,6898,2324,0,4,63,12521,
Perth,7,SSMM55270,52,Female,23/01/2011,9/07/2012,954,9036,1962,2003,266,0,5,28,14221,
Brisbane,68,SSMM55271,71,Female,23/01/2011,7/07/2012,436,3278,3340,4411,398,0,5,102,11863,
Perth,19,SSMM55272,69,Male,23/01/2011,4/07/2012,417,8138,1095,238,52,216,6,259,10156,
Melbourne,56,SSMM55273,42,Female,23/01/2011,2/07/2012,0,153,649,998,300,0,4,29,2100,
Perth,7,SSMM55274,76,Male,23/01/2011,25/06/2012,3413,1880,0,153,31,0,4,44,5477,
Brisbane,78,SSMM55275,72,Male,23/01/2011,17/06/2012,3934,1648,53,276,21,0,5,50,5932,
Brisbane,66,SSMM55276,69,Female,23/01/2011,16/06/2012,310,373,0,0,0,747,3,96,1430,
Brisbane,77,SSMM55277,63,Male,23/01/2011,29/05/2012,56,1092,1968,3265,332,806,6,56,7519,
Sydney,25,SSMM55278,39,Male,23/01/2011,3/04/2012,938,2047,1494,420,186,0,5,137,5085,
Sydney,39,SSMM55279,47,Male,24/01/2011,19/06/2012,7313,1667,0,153,72,0,4,188,9205,
Melbourne,54,SSMM55280,25,Female,24/01/2011,27/04/2012,248,163,1343,0,0,75,4,47,1829,
Perth,20,SSMM55281,75,Female,25/01/2011,7/07/2012,2154,540,781,153,36,0,5,4,3664,
Brisbane,64,SSMM55282,57,Female,25/01/2011,11/06/2012,2273,0,0,2797,314,216,4,4,5600,
Perth,18,SSMM55283,59,Female,25/01/2011,8/05/2012,1328,646,938,0,0,0,3,83,2912,
Perth,21,SSMM55284,50,Male,26/01/2011,28/03/2012,323,3874,59,879,13,0,5,219,5148,
Melbourne,55,SSMM55285,60,Female,27/01/2011,11/07/2012,5042,2267,1956,2198,160,2819,6,76,14442,
Brisbane,82,SSMM55286,63,Male,27/01/2011,28/06/2012,1428,417,1968,741,193,1114,6,203,5861,
Perth,14,SSMM55287,48,Female,28/01/2011,8/06/2012,2546,4320,1541,6427,2207,621,6,96,17662,
Perth,3,SSMM55288,53,Male,28/01/2011,2/06/2012,2468,251,0,0,0,0,2,68,2719,
Perth,11,SSMM55289,68,Male,29/01/2011,15/06/2012,3714,1095,2750,1230,294,0,5,165,9083,
Sydney,29,SSMM55290,67,Male,29/01/2011,31/05/2012,348,200,153,967,110,0,5,64,1778,
Melbourne,52,SSMM55291,66,Female,30/01/2011,10/07/2012,298,1293,4063,1296,560,1899,6,185,9409,
Perth,20,SSMM55292,60,Female,30/01/2011,29/06/2012,1190,433,310,2257,945,0,5,179,5135,
Brisbane,65,SSMM55293,59,Female,30/01/2011,25/06/2012,310,1029,781,295,69,1224,6,281,3708,
Sydney,35,SSMM55294,70,Male,30/01/2011,21/04/2012,50,1978,1560,91,3,169,6,180,3851,
Brisbane,83,SSMM55295,45,Female,31/01/2011,5/06/2012,467,1262,0,1080,430,0,4,77,3239,
Brisbane,65,SSMM55296,53,Male,31/01/2011,9/04/2012,1237,474,806,389,85,744,6,234,3735,
Melbourne,60,SSMM55297,63,Male,2/02/2011,21/05/2012,1852,3187,0,505,163,279,5,217,5986,
Brisbane,78,SSMM55298,24,Male,3/02/2011,17/06/2012,480,251,232,216,54,0,5,147,1233,
Melbourne,51,SSMM55299,74,Female,4/02/2011,7/08/2011,0,0,0,433,142,0,2,15,575,
Perth,15,SSMM55300,52,Female,5/02/2011,8/07/2012,653,248,59,1629,148,0,5,192,2737,
Melbourne,49,SSMM55301,41,Male,5/02/2011,29/06/2012,1142,1230,1199,725,284,496,6,200,5076,
Sydney,37,SSMM55302,46,Male,5/02/2011,15/06/2012,621,16014,5887,1604,38,0,5,174,24164,
Sydney,40,SSMM55303,43,Female,5/02/2011,2/03/2012,0,1604,1343,56,7,0,4,87,3010,
Melbourne,48,SSMM55304,77,Female,6/02/2011,9/06/2012,1120,1350,0,386,84,0,4,159,2940,
Sydney,31,SSMM55305,40,Male,6/02/2011,3/06/2012,863,2998,6597,555,76,0,5,80,11089,
Sydney,37,SSMM55306,75,Female,8/02/2011,5/07/2012,1821,1340,3215,1196,217,0,5,159,7789,
Perth,6,SSMM55307,59,Male,8/02/2011,2/07/2012,1004,3105,624,1708,105,370,6,248,6916,
Sydney,28,SSMM55308,58,Male,9/02/2011,27/06/2012,3557,3366,3783,1347,346,0,5,108,12399,
Sydney,27,SSMM55309,65,Male,9/02/2011,13/06/2012,2198,1325,4465,1268,451,433,6,200,10140,
Perth,16,SSMM55310,60,Female,11/02/2011,3/07/2012,662,2307,401,72,11,492,6,88,3945,
Brisbane,70,SSMM55311,72,Female,11/02/2011,21/06/2012,109,803,0,574,49,0,4,111,1535,
Brisbane,66,SSMM55312,55,Female,11/02/2011,24/04/2012,452,0,778,1042,341,0,4,169,2613,
Brisbane,79,SSMM55313,48,Female,12/02/2011,23/06/2012,480,3632,2546,1447,189,649,6,65,8943,
Melbourne,48,SSMM55314,59,Female,13/02/2011,10/07/2012,898,5991,1827,2367,672,43,6,183,11798,
Sydney,29,SSMM55315,38,Male,13/02/2011,6/07/2012,0,53,0,1975,725,0,3,43,2753,
Perth,20,SSMM55316,30,Female,13/02/2011,25/06/2012,558,232,0,496,117,0,4,125,1403,
Melbourne,50,SSMM55317,67,Female,13/02/2011,22/06/2012,1981,2807,5868,4019,1438,0,5,183,16113,
Melbourne,51,SSMM55318,53,Male,13/02/2011,1/06/2012,0,0,467,1142,554,0,3,143,2163,
Melbourne,50,SSMM55319,70,Female,13/02/2011,30/07/2011,1092,0,0,0,0,0,1,17,1092,
Brisbane,68,SSMM55320,38,Female,14/02/2011,18/06/2012,0,1334,562,540,98,0,4,92,2534,
Brisbane,64,SSMM55321,74,Female,14/02/2011,3/06/2012,0,992,467,128,10,0,4,171,1597,
Brisbane,75,SSMM55322,62,Male,15/02/2011,9/07/2012,0,0,1246,2201,902,0,3,107,4349,
Brisbane,83,SSMM55323,63,Male,15/02/2011,3/07/2012,3271,819,3648,750,335,4213,6,224,13036,
Brisbane,65,SSMM55324,75,Female,15/02/2011,30/06/2012,9561,1243,1058,3676,267,248,6,282,16053,
Perth,8,SSMM55325,66,Male,15/02/2011,20/06/2012,1563,370,0,75,2,0,4,163,2010,
Melbourne,55,SSMM55326,73,Male,16/02/2011,25/04/2012,819,238,0,326,87,0,4,178,1470,
Sydney,33,SSMM55327,50,Female,17/02/2011,19/06/2012,3359,3463,138,2289,770,1058,6,2,11077,
Perth,9,SSMM55328,65,Female,17/02/2011,28/05/2012,94,1340,0,1736,102,0,4,46,3272,
Brisbane,66,SSMM55329,71,Female,17/02/2011,11/04/2012,2427,1155,0,1635,781,901,5,23,6899,
Perth,11,SSMM55330,38,Female,19/02/2011,11/07/2012,122,4223,0,4465,372,43,5,138,9225,
Sydney,27,SSMM55331,55,Female,20/02/2011,5/07/2012,1789,2530,1500,1139,188,2807,6,238,9953,
Perth,12,SSMM55332,72,Female,20/02/2011,24/06/2012,0,1626,1591,1205,334,0,4,67,4756,
Brisbane,70,SSMM55333,45,Female,20/02/2011,21/05/2012,423,2662,467,178,49,122,6,13,3901,
Sydney,29,SSMM55334,70,Female,20/02/2011,10/04/2012,810,178,0,116,22,405,5,75,1531,
Brisbane,73,SSMM55335,51,Female,20/02/2011,26/03/2012,1667,1271,2493,304,62,185,6,7,5982,
Melbourne,52,SSMM55336,35,Female,21/02/2011,21/05/2012,838,1340,778,430,153,759,6,154,4298,
Melbourne,60,SSMM55337,55,Female,22/02/2011,11/07/2012,753,0,744,78,17,232,5,54,1824,
Perth,16,SSMM55338,69,Male,22/02/2011,30/06/2012,2961,8280,4022,2939,274,0,5,204,18476,
Melbourne,54,SSMM55339,47,Female,22/02/2011,27/06/2012,1516,3070,0,4936,2255,0,4,137,11777,
Sydney,25,SSMM55340,42,Female,22/02/2011,26/05/2012,50,2804,0,0,0,467,3,99,3321,
Brisbane,75,SSMM55341,72,Female,22/02/2011,12/04/2012,728,292,411,728,39,0,5,200,2198,
Sydney,34,SSMM55342,38,Male,23/02/2011,24/06/2012,832,59,0,0,0,0,2,66,891,
Melbourne,46,SSMM55343,61,Female,23/02/2011,19/06/2012,1180,499,153,3042,66,0,5,150,4940,
Perth,14,SSMM55344,45,Female,24/02/2011,18/04/2012,0,0,216,6308,652,0,3,139,7176,
Sydney,37,SSMM55345,72,Female,25/02/2011,12/07/2012,885,1789,1124,2687,536,0,5,28,7021,
Brisbane,78,SSMM55346,35,Female,25/02/2011,5/07/2012,690,1551,0,157,35,0,4,47,2433,
Brisbane,68,SSMM55347,59,Female,25/02/2011,16/06/2012,1727,2276,1186,0,0,527,4,133,5716,
Perth,2,SSMM55348,68,Female,27/02/2011,3/07/2012,3881,5567,10019,1287,45,2753,6,193,23552,
Perth,20,SSMM55349,54,Female,27/02/2011,28/06/2012,2122,1117,2860,511,226,1648,6,91,8484,
Sydney,36,SSMM55350,49,Male,27/02/2011,14/05/2012,1362,147,1343,1089,466,0,5,119,4407,
Perth,20,SSMM55351,51,Male,27/02/2011,15/04/2012,2574,141,1186,1124,521,1403,6,201,6949,
Perth,8,SSMM55352,78,Female,28/02/2011,14/06/2012,587,612,599,2945,986,91,6,118,5820,
Brisbane,76,SSMM55353,65,Female,28/02/2011,10/06/2012,649,0,935,204,10,2452,5,127,4250,
Perth,17,SSMM55354,48,Female,1/03/2011,22/06/2012,0,53,467,1416,239,0,4,111,2175,
Sydney,24,SSMM55355,43,Male,2/03/2011,25/06/2012,1836,781,562,75,17,0,5,154,3271,
Melbourne,55,SSMM55356,51,Female,6/03/2011,5/06/2012,185,1482,0,0,0,0,2,26,1667,
Melbourne,54,SSMM55357,45,Female,7/03/2011,27/06/2012,715,4323,948,2216,332,260,6,212,8794,
Sydney,31,SSMM55358,68,Female,7/03/2011,7/06/2012,427,2753,467,138,63,185,6,51,4033,
Brisbane,70,SSMM55359,43,Female,7/03/2011,1/06/2012,0,985,1566,1742,720,0,4,152,5013,
Melbourne,52,SSMM55360,60,Female,7/03/2011,7/05/2012,50,1884,1554,659,28,1083,6,17,5258,
Brisbane,67,SSMM55361,46,Male,8/03/2011,25/06/2012,3777,1485,593,2606,448,1403,6,47,10312,
Brisbane,80,SSMM55362,57,Male,8/03/2011,14/05/2012,0,502,1657,405,170,0,4,86,2734,
Brisbane,68,SSMM55363,63,Male,9/03/2011,26/06/2012,967,0,3177,580,193,1130,5,202,6047,
Sydney,25,SSMM55364,60,Female,9/03/2011,25/06/2012,266,1142,1058,778,351,1299,6,105,4894,
Perth,4,SSMM55365,67,Female,9/03/2011,24/06/2012,2358,1745,2659,806,356,0,5,126,7924,
Melbourne,44,SSMM55366,47,Female,10/03/2011,27/05/2012,0,1774,1026,122,24,169,5,205,3115,
Melbourne,43,SSMM55367,48,Male,11/03/2011,26/06/2012,411,295,1962,558,32,0,5,142,3258,
Sydney,24,SSMM55368,41,Female,11/03/2011,19/02/2012,91,1538,0,759,334,0,4,56,2722,
Melbourne,55,SSMM55369,66,Female,11/03/2011,21/01/2012,367,59,0,0,0,213,3,113,639,
Brisbane,73,SSMM55370,56,Female,13/03/2011,12/07/2012,2873,0,0,0,0,310,2,45,3183,
Perth,5,SSMM55371,55,Male,13/03/2011,21/06/2012,1039,876,0,175,49,386,5,178,2525,
Sydney,28,SSMM55372,53,Male,13/03/2011,17/06/2012,357,2973,781,860,153,91,6,137,5215,
Perth,13,SSMM55373,71,Male,15/03/2011,12/07/2012,2480,882,1965,1946,280,0,5,102,7553,
Perth,4,SSMM55374,49,Female,15/03/2011,25/06/2012,2213,2138,405,888,397,357,6,255,6398,
Brisbane,65,SSMM55375,65,Female,15/03/2011,19/06/2012,2125,1023,398,310,74,3463,6,25,7393,
Melbourne,52,SSMM55376,53,Female,15/03/2011,17/06/2012,1620,781,747,310,58,3149,6,112,6665,
Brisbane,81,SSMM55377,77,Female,15/03/2011,14/05/2012,2000,401,1215,728,294,0,5,45,4638,
Perth,11,SSMM55378,51,Male,15/03/2011,16/03/2012,841,172,1089,1023,110,0,5,105,3235,
Perth,1,SSMM55379,51,Female,16/03/2011,24/06/2012,1048,7617,1526,2003,573,373,6,121,13140,
Brisbane,72,SSMM55380,46,Female,17/03/2011,7/06/2012,957,1051,618,1171,540,715,6,68,5052,
Sydney,34,SSMM55381,25,Female,17/03/2011,1/06/2012,0,1676,153,0,0,0,2,34,1829,
Perth,1,SSMM55382,50,Female,17/03/2011,27/05/2012,0,314,0,797,308,0,3,84,1419,
Perth,8,SSMM55383,58,Female,17/03/2011,11/04/2012,4370,0,1560,565,29,2822,5,49,9346,
Melbourne,59,SSMM55384,25,Male,19/03/2011,13/07/2012,1142,1855,0,427,203,0,4,184,3627,
Sydney,39,SSMM55385,45,Female,19/03/2011,17/03/2012,624,0,370,288,5,0,4,44,1287,
Perth,7,SSMM55386,49,Male,20/03/2011,15/06/2012,436,1770,4468,2185,992,216,6,45,10067,
Melbourne,44,SSMM55387,48,Male,21/03/2011,5/07/2012,0,816,1588,2289,517,0,4,111,5210,
Sydney,24,SSMM55388,72,Female,21/03/2011,28/02/2012,0,0,0,1064,471,0,2,18,1535,
Melbourne,61,SSMM55389,38,Male,23/03/2011,8/07/2012,2455,2355,248,2345,274,0,5,190,7677,
Sydney,24,SSMM55390,52,Female,23/03/2011,25/06/2012,1007,960,2088,951,282,307,6,37,5595,
Sydney,23,SSMM55391,71,Female,24/03/2011,2/06/2012,53,430,0,0,0,0,2,16,483,
Sydney,24,SSMM55392,45,Male,24/03/2011,24/05/2012,0,0,2348,979,126,75,4,2,3528,
Sydney,25,SSMM55393,35,Female,24/03/2011,21/04/2012,182,976,1403,838,382,1164,6,286,4945,
Sydney,40,SSMM55394,60,Female,25/03/2011,28/06/2012,370,982,1469,109,51,1478,6,215,4459,
Sydney,38,SSMM55395,58,Female,26/03/2011,28/06/2012,2665,536,901,0,0,370,4,81,4472,
Melbourne,57,SSMM55396,49,Male,27/03/2011,9/07/2012,1168,279,348,781,224,59,6,53,2859,
Sydney,31,SSMM55397,70,Female,27/03/2011,13/02/2012,0,2599,0,314,72,0,3,87,2985,
Melbourne,46,SSMM55398,35,Female,29/03/2011,11/07/2012,4069,1020,216,590,271,0,5,204,6166,
Perth,18,SSMM55399,69,Female,29/03/2011,15/04/2012,621,781,0,157,14,0,4,94,1573,
Melbourne,60,SSMM55400,60,Female,30/03/2011,8/07/2012,6342,2009,719,408,48,1934,6,287,11460,
Perth,3,SSMM55401,32,Female,31/03/2011,7/07/2012,295,1752,499,1849,103,0,5,27,4498,
Melbourne,47,SSMM55402,42,Female,31/03/2011,27/06/2012,0,376,0,932,459,153,4,170,1920,
Perth,6,SSMM55403,72,Female,1/04/2011,3/07/2012,1943,2565,932,502,37,0,5,155,5979,
Sydney,25,SSMM55404,65,Male,1/04/2011,22/04/2012,367,722,153,153,24,197,6,265,1616,
Sydney,31,SSMM55405,73,Male,2/04/2011,24/06/2012,1117,248,3074,1632,553,175,6,37,6799,
Brisbane,73,SSMM55406,44,Female,2/04/2011,21/06/2012,1902,3557,1274,8132,462,0,5,179,15327,
Sydney,40,SSMM55407,75,Male,3/04/2011,24/06/2012,2081,2420,0,0,0,0,2,22,4501,
Melbourne,48,SSMM55408,57,Female,3/04/2011,1/06/2012,1909,3146,558,0,0,279,4,146,5892,
Brisbane,74,SSMM55409,28,Female,3/04/2011,25/05/2012,339,606,276,1190,64,279,6,148,2754,
Melbourne,50,SSMM55410,32,Female,4/04/2011,15/06/2012,838,2455,1591,420,125,153,6,263,5582,
Melbourne,46,SSMM55411,58,Female,4/04/2011,21/05/2012,0,5089,781,1142,427,775,5,219,8214,
Brisbane,72,SSMM55412,51,Female,5/04/2011,10/07/2012,464,2562,2464,342,141,631,6,227,6604,
Brisbane,65,SSMM55413,44,Female,5/04/2011,28/06/2012,4427,5479,339,364,157,0,5,118,10766,
Brisbane,76,SSMM55414,72,Male,7/04/2011,2/07/2012,1080,4895,3432,4995,1213,963,6,104,16578,
Sydney,30,SSMM55415,69,Male,7/04/2011,27/06/2012,5369,2424,725,769,336,1403,6,297,11026,
Sydney,37,SSMM55416,37,Female,7/04/2011,31/05/2012,0,5739,1249,599,178,0,4,34,7765,
Perth,14,SSMM55417,43,Female,7/04/2011,17/05/2012,0,75,1695,719,49,75,5,126,2613,
Melbourne,54,SSMM55418,32,Male,7/04/2011,28/04/2012,276,357,3281,794,32,0,5,238,4740,
Brisbane,67,SSMM55419,58,Male,7/04/2011,13/04/2012,496,65,480,445,19,0,5,239,1505,
Sydney,31,SSMM55420,35,Female,8/04/2011,13/07/2012,0,662,715,584,154,0,4,139,2115,
Melbourne,59,SSMM55421,70,Male,8/04/2011,5/07/2012,50,282,838,2273,311,1701,6,206,5455,
Brisbane,73,SSMM55422,42,Male,8/04/2011,25/06/2012,0,6751,1061,1274,324,0,4,171,9410,
Brisbane,78,SSMM55423,45,Female,8/04/2011,8/05/2012,222,1661,4791,791,249,0,5,250,7714,
Brisbane,75,SSMM55424,32,Male,8/04/2011,26/03/2012,0,675,0,725,100,1105,4,149,2605,
Brisbane,82,SSMM55425,70,Male,8/04/2011,8/03/2012,2807,0,279,0,0,0,2,54,3086,
Sydney,34,SSMM55426,63,Male,9/04/2011,13/07/2012,876,960,624,2722,591,0,5,25,5773,
Perth,1,SSMM55427,65,Female,9/04/2011,19/05/2012,351,270,0,122,10,1180,5,187,1933,
Brisbane,83,SSMM55428,38,Male,9/04/2011,30/03/2012,0,624,1089,153,13,0,4,41,1879,
Brisbane,84,SSMM55429,54,Male,9/04/2011,25/03/2012,106,1083,37,797,342,0,5,205,2365,
Brisbane,64,SSMM55430,33,Male,9/04/2011,2/09/2011,0,0,153,0,0,0,1,21,153,
Perth,15,SSMM55431,33,Female,10/04/2011,18/06/2012,1526,56,0,810,243,0,4,110,2635,
Melbourne,52,SSMM55432,49,Female,10/04/2011,4/06/2012,2389,2147,2502,907,446,1359,6,138,9750,
Brisbane,74,SSMM55433,45,Male,10/04/2011,24/04/2012,0,166,216,0,0,1877,3,27,2259,
Melbourne,50,SSMM55434,56,Female,11/04/2011,21/04/2012,56,916,938,113,51,1428,6,107,3502,
Brisbane,66,SSMM55435,23,Male,11/04/2011,8/04/2012,0,0,1281,2725,1224,185,4,99,5415,
Perth,1,SSMM55436,62,Male,12/04/2011,11/07/2012,3768,3428,420,857,66,945,6,60,9484,
Sydney,36,SSMM55437,47,Female,12/04/2011,24/06/2012,150,1350,370,288,6,0,5,219,2164,
Sydney,25,SSMM55438,35,Male,14/04/2011,14/06/2012,0,11090,8452,693,66,0,4,155,20301,
Brisbane,67,SSMM55439,40,Male,14/04/2011,10/06/2012,53,514,1092,734,296,0,5,176,2689,
Melbourne,45,SSMM55440,34,Female,14/04/2011,3/06/2012,100,759,838,1061,38,938,6,54,3734,
Sydney,36,SSMM55441,53,Female,15/04/2011,25/06/2012,1934,775,467,536,62,0,5,218,3774,
Perth,2,SSMM55442,56,Female,16/04/2011,2/07/2012,248,527,624,929,233,0,5,225,2561,
Perth,2,SSMM55443,52,Female,16/04/2011,12/04/2012,345,530,0,1023,484,0,4,195,2382,
Perth,8,SSMM55444,57,Female,17/04/2011,12/07/2012,1277,467,2320,1409,238,3001,6,49,8712,
Perth,9,SSMM55445,28,Male,17/04/2011,24/06/2012,279,1723,0,0,0,122,3,91,2124,
Melbourne,46,SSMM55446,47,Female,17/04/2011,22/10/2011,332,0,621,62,9,0,4,193,1024,
Brisbane,72,SSMM55447,63,Female,18/04/2011,29/06/2012,50,963,0,1092,270,3218,5,219,5593,
Melbourne,60,SSMM55448,60,Male,21/04/2011,12/07/2012,4876,3579,1199,8857,2566,0,5,95,21077,
Melbourne,52,SSMM55449,46,Male,22/04/2011,9/07/2012,59,2188,1978,4942,1815,0,5,92,10982,
Brisbane,66,SSMM55450,43,Male,9/05/2011,3/07/2012,2841,2756,1083,317,107,0,5,27,7104,
Perth,7,SSMM55451,57,Male,12/05/2011,25/06/2012,1968,169,248,901,36,499,6,18,3821,
Sydney,36,SSMM55452,60,Male,16/05/2011,7/07/2012,113,2976,1591,4612,1744,0,5,249,11036,
Sydney,26,SSMM55453,51,Female,16/05/2011,6/07/2012,1720,3256,0,1557,652,0,4,105,7185,
Sydney,34,SSMM55454,60,Female,16/05/2011,28/06/2012,671,2282,778,5686,1108,1460,6,173,11985,
Sydney,42,SSMM55455,66,Male,17/05/2011,6/07/2012,2182,2973,467,4389,2086,0,5,43,12097,
Brisbane,64,SSMM55456,74,Female,18/05/2011,25/06/2012,2000,1591,1968,1406,399,383,6,223,7747,
Sydney,40,SSMM55457,37,Male,19/05/2011,12/07/2012,467,1604,1186,6741,791,0,5,150,10789,
Brisbane,71,SSMM55458,66,Female,19/05/2011,19/06/2012,1362,4226,1500,5102,2249,405,6,246,14844,
Melbourne,58,SSMM55459,44,Male,19/05/2011,5/06/2012,621,1212,389,0,0,0,3,19,2222,
Sydney,34,SSMM55460,64,Female,20/05/2011,24/06/2012,1284,1601,0,216,101,0,4,183,3202,
Melbourne,57,SSMM55461,52,Male,20/05/2011,8/06/2012,0,339,1406,1359,483,1092,5,54,4679,
Perth,11,SSMM55462,69,Female,21/05/2011,8/07/2012,5532,2367,2866,11680,1253,4151,6,245,27849,
Sydney,33,SSMM55463,49,Female,21/05/2011,5/06/2012,3573,0,185,1478,15,138,5,84,5389,
Sydney,27,SSMM55464,57,Female,22/05/2011,21/06/2012,0,0,405,1290,183,445,4,159,2323,
Sydney,36,SSMM55465,57,Female,23/05/2011,6/07/2012,6057,367,2546,376,61,100,6,92,9507,
Melbourne,61,SSMM55466,73,Female,24/05/2011,5/04/2012,514,722,307,891,209,712,6,268,3355,
Perth,11,SSMM55467,71,Male,26/05/2011,17/06/2012,1434,2150,1965,891,296,0,5,27,6736,
Brisbane,79,SSMM55468,40,Female,26/05/2011,25/04/2012,160,3017,0,0,0,0,2,6,3177,
Sydney,37,SSMM55469,72,Female,26/05/2011,17/04/2012,904,0,1343,1058,412,0,4,141,3717,
Melbourne,51,SSMM55470,68,Female,28/05/2011,26/05/2012,1391,0,1152,0,0,1262,3,119,3805,
Melbourne,61,SSMM55471,39,Female,29/05/2011,20/04/2012,0,838,2662,1635,456,590,5,202,6181,
Brisbane,67,SSMM55472,74,Male,2/06/2011,29/06/2012,2144,3240,0,580,223,0,4,119,6187,
Melbourne,60,SSMM55473,74,Female,6/06/2011,24/06/2012,0,0,1591,2964,626,1563,4,95,6744,
Perth,8,SSMM55474,51,Female,8/06/2011,27/06/2012,1497,1139,6446,2345,719,0,5,32,12146,
Brisbane,65,SSMM55475,66,Female,8/06/2011,15/04/2012,279,744,310,562,51,1645,6,174,3591,
Perth,16,SSMM55476,53,Male,9/06/2011,8/07/2012,2753,4791,1343,8616,3231,310,6,50,21044,
Melbourne,58,SSMM55477,76,Male,9/06/2011,1/06/2012,3337,244,0,3567,608,0,4,152,7756,
Melbourne,61,SSMM55478,70,Male,9/06/2011,17/05/2012,1720,662,43,144,62,248,6,119,2879,
Perth,12,SSMM55479,32,Female,10/06/2011,30/06/2012,1557,1893,747,3871,1641,558,6,294,10267,
Perth,8,SSMM55480,74,Male,14/06/2011,12/07/2012,923,1029,4157,1086,470,0,5,5,7665,
Melbourne,56,SSMM55481,27,Female,18/06/2011,28/06/2012,248,979,467,514,225,0,5,51,2433,
Sydney,24,SSMM55482,68,Male,18/06/2011,16/06/2012,1070,1212,562,204,24,957,6,288,4029,
Brisbane,71,SSMM55483,64,Male,18/06/2011,3/06/2012,2555,2025,1560,609,243,0,5,141,6992,
Melbourne,50,SSMM55484,75,Female,19/06/2011,2/07/2012,3717,1858,3369,3183,1585,681,6,267,14393,
Sydney,23,SSMM55485,70,Female,19/06/2011,1/07/2012,2182,524,0,1428,63,0,4,167,4197,
Sydney,28,SSMM55486,71,Female,20/06/2011,8/07/2012,370,1733,0,304,9,0,4,95,2416,
Melbourne,55,SSMM55487,66,Female,20/06/2011,5/07/2012,0,0,0,4706,393,945,3,8,6044,
Sydney,32,SSMM55488,46,Female,20/06/2011,28/06/2012,712,2072,185,3504,1377,819,6,14,8669,
Sydney,26,SSMM55489,71,Male,20/06/2011,20/10/2011,288,0,0,0,0,310,2,83,598,
Perth,14,SSMM55490,48,Male,21/06/2011,15/04/2012,913,590,1993,1921,933,0,5,235,6350,
Perth,2,SSMM55491,45,Female,23/06/2011,15/06/2012,0,2612,1183,147,55,1042,5,184,5039,
Melbourne,48,SSMM55492,68,Male,24/06/2011,16/06/2012,0,511,263,1598,417,0,4,196,2789,
Perth,13,SSMM55493,67,Female,27/06/2011,12/07/2012,7589,7470,1802,3275,916,781,6,215,21833,
Melbourne,46,SSMM55494,55,Female,30/06/2011,1/07/2012,1570,2838,6239,4662,1146,850,6,149,17305,
Sydney,29,SSMM55495,43,Male,30/06/2011,22/06/2012,191,1595,562,113,28,0,5,52,2489,
Sydney,41,SSMM55496,65,Male,1/07/2011,1/07/2012,2631,5871,0,2555,1072,624,5,219,12753,
Melbourne,50,SSMM55497,69,Female,2/07/2011,3/07/2012,1717,3617,712,0,0,0,3,98,6046,
Melbourne,49,SSMM55498,46,Female,5/07/2011,2/07/2012,0,2700,5253,1391,165,0,4,185,9509,
Brisbane,74,SSMM55499,61,Female,6/07/2011,2/07/2012,0,6044,2066,2863,824,0,4,126,11797,
